# packages in environment at /var/tmp/gt3:
#
# Name                              Version          Build                 Channel
gmp                                 6.3.0            hac33072_2            conda-forge
graph-tool                          3.0              py314hfca41d1_401     conda-forge
graph-tool-base                     3.0              py314he273e8a_401     conda-forge
graphite2                           1.3.15           hecca717_0            conda-forge
gtk3                                3.24.52          ha5ea40c_0            conda-forge
harfbuzz                            14.2.1           ha770c72_1            conda-forge
hicolor-icon-theme                  0.17             ha770c72_3            conda-forge
icu                                 78.3             h33c6efd_1            conda-forge
joblib                              1.5.3            pyhd8ed1ab_0          conda-forge
keyutils                            1.6.3            hb9d3cd8_0            conda-forge
kiwisolver                          1.5.0            py314h97ea11e_0       conda-forge
krb5                                1.22.2           hbde042b_1            conda-forge
lcms2                               2.19.1           h0c24ade_1            conda-forge
ld_impl_linux-64                    2.46.1           default_hbd61a6d_102  conda-forge
lerc                                4.1.0            hdb68285_0            conda-forge
libabseil                           20260526.0       cxx17_h7b12aa8_1      conda-forge
libarrow                            25.0.0           h32b7842_3_cpu        conda-forge
libarrow-acero                      25.0.0           h635bf11_3_cpu        conda-forge
libarrow-compute                    25.0.0           h53684a4_3_cpu        conda-forge
libarrow-dataset                    25.0.0           h635bf11_3_cpu        conda-forge
libarrow-substrait                  25.0.0           h66fbfdd_3_cpu        conda-forge
libblas                             3.11.0           8_h4a7cf45_openblas   conda-forge
libboost                            1.90.0           hd24cca6_1            conda-forge
libboost-python                     1.90.0           py314h3a4f467_1       conda-forge
libbrotlicommon                     1.2.0            hb03c661_1            conda-forge
libbrotlidec                        1.2.0            hb03c661_1            conda-forge
libbrotlienc                        1.2.0            hb03c661_1            conda-forge
libcblas                            3.11.0           8_h0358290_openblas   conda-forge
libcrc32c                           1.1.2            h9c3ff4c_0            conda-forge
libcups                             2.3.3            h7a8fb5f_6            conda-forge
libcurl                             8.21.0           hae6b9f4_2            conda-forge
libdeflate                          1.25             h17f619e_0            conda-forge
libdrm                              2.4.127          hb03c661_0            conda-forge
libedit                             3.1.20250104     pl5321h7949ede_0      conda-forge
libegl                              1.7.0            ha4b6fd6_3            conda-forge
libegl-devel                        1.7.0            ha4b6fd6_3            conda-forge
libev                               4.33             hd590300_2            conda-forge
libevent                            2.1.12           hf998b51_1            conda-forge
libexpat                            2.8.1            hecca717_1            conda-forge
libffi                              3.5.2            h3435931_0            conda-forge
libfreetype                         2.14.3           ha770c72_0            conda-forge
libfreetype6                        2.14.3           h73754d4_0            conda-forge
libgcc                              15.2.0           he0feb66_19           conda-forge
libgcc-ng                           15.2.0           h69a702a_19           conda-forge
libgfortran                         15.2.0           h69a702a_19           conda-forge
libgfortran5                        15.2.0           h68bc16d_19           conda-forge
libgirepository                     1.86.0           hac26d07_0            conda-forge
libgl                               1.7.0            ha4b6fd6_3            conda-forge
libgl-devel                         1.7.0            ha4b6fd6_3            conda-forge
libglib                             2.88.2           h0d30a3d_0            conda-forge
libglvnd                            1.7.0            ha4b6fd6_3            conda-forge
libglx                              1.7.0            ha4b6fd6_3            conda-forge
libglx-devel                        1.7.0            ha4b6fd6_3            conda-forge
libgomp                             15.2.0           he0feb66_19           conda-forge
libgoogle-cloud                     3.7.0            hbc29df5_0            conda-forge
libgoogle-cloud-storage             3.7.0            hdbdcf42_0            conda-forge
libgrpc                             1.82.1           h792040b_0            conda-forge
libharfbuzz                         14.2.1           h17a8019_1            conda-forge
libharfbuzz-devel                   14.2.1           h17a8019_1            conda-forge
libiconv                            1.18             h3b78370_2            conda-forge
libjpeg-turbo                       3.2.0            hb03c661_0            conda-forge
liblapack                           3.11.0           8_h47877c9_openblas   conda-forge
liblzma                             5.8.3            hb03c661_0            conda-forge
libmpdec                            4.0.0            hb03c661_1            conda-forge
libnghttp2                          1.68.1           h877daf1_0            conda-forge
libopenblas                         0.3.33           pthreads_h94d23a6_0   conda-forge
libopentelemetry-cpp                1.27.0           h3133023_1            conda-forge
libopentelemetry-cpp-headers        1.27.0           ha770c72_1            conda-forge
libparquet                          25.0.0           h7376487_3_cpu        conda-forge
libpciaccess                        0.19             hb03c661_0            conda-forge
libpng                              1.6.58           h421ea60_0            conda-forge
libprotobuf                         7.35.1           h2840a7c_2            conda-forge
libpsl                              0.22.0           h49b2146_1            conda-forge
libraqm                             0.10.5           h6406941_1            conda-forge
libre2-11                           2025.11.05       h60473fc_2            conda-forge
librsvg                             2.62.3           h4c96295_0            conda-forge
libsqlite                           3.53.3           h0c1763c_0            conda-forge
libssh2                             1.11.1           hcf80075_0            conda-forge
libstdcxx                           15.2.0           h934c35e_19           conda-forge
libstdcxx-ng                        15.2.0           hdf11a46_19           conda-forge
libthrift                           0.22.0           h7d032f7_2            conda-forge
libtiff                             4.7.2            h9d88235_0            conda-forge
libutf8proc                         2.11.3           hfe17d71_0            conda-forge
libuuid                             2.42.2           h5347b49_0            conda-forge
libwebp-base                        1.6.0            hd42ef1d_0            conda-forge
libxcb                              1.17.0           h8a09558_0            conda-forge
libxkbcommon                        1.13.2           hca5e8e5_0            conda-forge
libxml2                             2.15.3           h49c6c72_0            conda-forge
libxml2-16                          2.15.3           hca6bf5a_0            conda-forge
libzlib                             1.3.2            h25fd6f3_2            conda-forge
lz4-c                               1.10.0           h5888daf_1            conda-forge
matplotlib-base                     3.11.1           py314had63eae_0       conda-forge
munkres                             1.1.4            pyhd8ed1ab_1          conda-forge
narwhals                            2.24.0           pyhcf101f3_0          conda-forge
ncurses                             6.6              hdb14827_0            conda-forge
nlohmann_json                       3.12.0           h54a6638_1            conda-forge
numpy                               2.5.1            py314h2b28147_0       conda-forge
openjpeg                            2.5.4            h55fea9a_0            conda-forge
openssl                             3.6.3            h35e630c_0            conda-forge
orc                                 2.3.1            h443056b_0            conda-forge
packaging                           26.2             pyhc364b38_0          conda-forge
pandas                              3.0.3            py314hb4ffadd_0       conda-forge
pango                               1.56.4           hda50119_1            conda-forge
pcre2                               10.47            haa7fec5_0            conda-forge
pillow                              12.3.0           py314h8ec4b1a_0       conda-forge
pip                                 26.1.2           pyh145f28c_0          conda-forge
pixman                              0.46.4           h54a6638_2            conda-forge
prometheus-cpp                      1.3.0            ha5d0236_0            conda-forge
pthread-stubs                       0.4              hb9d3cd8_1002         conda-forge
pyarrow                             25.0.0           py314hdafbbf9_0       conda-forge
pyarrow-core                        25.0.0           py314h969be7f_0_cpu   conda-forge
pycairo                             1.29.0           py314h9cd037b_1       conda-forge
pycparser                           3.0              pyhcf101f3_0          conda-forge
pygobject                           3.56.3           py314h4bbdf5d_0       conda-forge
pyparsing                           3.3.2            pyhcf101f3_0          conda-forge
python                              3.14.6           habeac84_100_cp314    conda-forge
python-dateutil                     2.9.0.post0      pyhe01879c_2          conda-forge
python_abi                          3.14             8_cp314               conda-forge
qhull                               2020.2           h434a139_5            conda-forge
re2                                 2025.11.05       h94463f1_2            conda-forge
readline                            8.3              h853b02a_0            conda-forge
s2n                                 1.7.5            h7e3ee7f_1            conda-forge
scikit-learn                        1.9.0            np2py314hf09ca88_0    conda-forge
scipy                               1.18.0           py314hf07bd8e_0       conda-forge
setuptools                          83.0.0           pyh332efcf_0          conda-forge
sigcpp-3.0                          3.6.0            h59595ed_0            conda-forge
six                                 1.17.0           pyhe01879c_1          conda-forge
snappy                              1.2.2            h03e3b7b_1            conda-forge
threadpoolctl                       3.6.0            pyhecae5ae_0          conda-forge
tk                                  8.6.13           noxft_hd70dff1_3      conda-forge
tqdm                                4.69.0           pyh8f84b5b_0          conda-forge
tzdata                              2026c            h151e31d_0            conda-forge
unicodedata2                        17.0.1           py314h5bd0f2a_0       conda-forge
wayland                             1.26.0           hd6090a7_0            conda-forge
xkeyboard-config                    2.48             h280c20c_0            conda-forge
xorg-libice                         1.1.2            hb9d3cd8_0            conda-forge
xorg-libsm                          1.2.6            he73a12e_0            conda-forge
xorg-libx11                         1.8.13           he1eb515_0            conda-forge
xorg-libxau                         1.0.12           hb03c661_1            conda-forge
xorg-libxcomposite                  0.4.7            hb03c661_0            conda-forge
xorg-libxcursor                     1.2.3            hb9d3cd8_0            conda-forge
xorg-libxdamage                     1.1.6            hb9d3cd8_0            conda-forge
xorg-libxdmcp                       1.1.5            hb03c661_1            conda-forge
xorg-libxext                        1.3.7            hb03c661_0            conda-forge
xorg-libxfixes                      6.0.2            hb03c661_0            conda-forge
xorg-libxi                          1.8.3            hb03c661_0            conda-forge
xorg-libxinerama                    1.1.6            hecca717_0            conda-forge
xorg-libxrandr                      1.5.5            hb03c661_0            conda-forge
xorg-libxrender                     0.9.12           hb9d3cd8_0            conda-forge
xorg-libxtst                        1.2.5            hb9d3cd8_3            conda-forge
xorg-libxxf86vm                     1.1.7            hb03c661_0            conda-forge
xorg-xextproto                      7.3.0            hb9d3cd8_1004         conda-forge
xorg-xorgproto                      2025.1           hb03c661_0            conda-forge
zlib                                1.3.2            h25fd6f3_2            conda-forge
zlib-ng                             2.3.3            hceb46e0_1            conda-forge
zstandard                           0.25.0           py314h0f05182_1       conda-forge
zstd                                1.5.7            hb78ec9c_6            conda-forge
